Expert_ID,Token_Count,Percentage,Rank
34,8,12.50,1
44,8,12.50,2
23,6,9.38,3
54,6,9.38,4
8,5,7.81,5
50,5,7.81,6
0,4,6.25,7
28,4,6.25,8
29,4,6.25,9
37,4,6.25,10
2,3,4.69,11
17,3,4.69,12
20,3,4.69,13
48,3,4.69,14
49,3,4.69,15
56,3,4.69,16
58,3,4.69,17
59,3,4.69,18
60,3,4.69,19
5,2,3.12,20
11,2,3.12,21
14,2,3.12,22
16,2,3.12,23
18,2,3.12,24
24,2,3.12,25
26,2,3.12,26
30,2,3.12,27
39,2,3.12,28
45,2,3.12,29
46,2,3.12,30
47,2,3.12,31
55,2,3.12,32
1,1,1.56,33
4,1,1.56,34
6,1,1.56,35
7,1,1.56,36
9,1,1.56,37
10,1,1.56,38
12,1,1.56,39
13,1,1.56,40
19,1,1.56,41
21,1,1.56,42
25,1,1.56,43
31,1,1.56,44
32,1,1.56,45
35,1,1.56,46
36,1,1.56,47
38,1,1.56,48
40,1,1.56,49
42,1,1.56,50
57,1,1.56,51
61,1,1.56,52
62,1,1.56,53
3,0,0.00,54
15,0,0.00,55
22,0,0.00,56
27,0,0.00,57
33,0,0.00,58
41,0,0.00,59
43,0,0.00,60
51,0,0.00,61
52,0,0.00,62
53,0,0.00,63
63,0,0.00,64
