PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0 163386   339 163370         327095
             1  93137   184  92970         186291
             2 163382   272 163383         327037
             3  95799   174  95801         191774
             4 146489   248 146477         293214
             5 101661   185 101441         203287
             6 112696   377 112707         225780
             7 166357   276 166213         332846
             8 123961   215 123960         248136
             9 146806   248 146474         293528
            10 107064   192 107049         214305
            11 135223   233 135223         270679
            12 143673   243 143672         287588
            13 135224   377 135210         270811
            14 146488   248 146475         293211
            15 101431   185 101584         203200
            16 135225   234 135230         270689
            17 185912   302 185913         372127
            18 152120   257 152120         304497
            19 135223   232 135219         270674
            20 174649   287 174637         349573
            21 138239   235 138048         276522
            22 146488   252 146488         293228
            23 121143   218 121144         242505
            24 129593   234 129590         259417
            25 171832   285 171818         343935
            26 146756   249 146474         293479
            27  67639   137  67633         135409
            28 126777   219 126779         253775
            29 138124   239 138040         276403
            30 123960   217 123960         248137
            31 140855   241 140855         281951
            32 163385   273 163385         327043
            33 154936   262 154936         310134
            34 149304   253 149302         298859
            35 157751   263 157738         315752
            36 140858   252 141087         282197
            37 135224   233 135210         270667
            38 121144   212 121143         242499
            39 135223   240 135209         270672
            40 140857   241 140843         281941
            41 123960   216 123959         248135
            42 138040   235 138044         276319
            43 115511   206 115511         231228
            44 143673   313 143672         287658
            45 152120   256 152280         304656
            46 138040   242 138026         276308
            47 132407   226 132394         265027
            48 154937   258 154921         310116
            49 126776   220 126762         253758
            50 101432   184 101430         203046
            51 126775   309 126775         253859
            52 123961   215 123960         248136
            53 138040   237 138040         276317
            54 157752   268 157737         315757
            55 135223   230 135213         270666
            56  64825   133  64806         129764
            57 129594   225 129740         259559
            58 160569   269 160555         321393
            59 138040   238 138026         276304
            60 126775   225 126783         253783
            61 126778   219 126782         253779
            62 194361   325 194345         389031
            63 140856   241 140856         281953
