Expert_ID,Token_Count,Percentage,Rank
16,4,6.25,1
28,4,6.25,2
34,4,6.25,3
10,3,4.69,4
18,3,4.69,5
19,3,4.69,6
3,2,3.12,7
11,2,3.12,8
12,2,3.12,9
15,2,3.12,10
26,2,3.12,11
27,2,3.12,12
31,2,3.12,13
38,2,3.12,14
39,2,3.12,15
2,1,1.56,16
4,1,1.56,17
5,1,1.56,18
6,1,1.56,19
7,1,1.56,20
9,1,1.56,21
14,1,1.56,22
20,1,1.56,23
25,1,1.56,24
29,1,1.56,25
32,1,1.56,26
35,1,1.56,27
37,1,1.56,28
43,1,1.56,29
45,1,1.56,30
47,1,1.56,31
48,1,1.56,32
49,1,1.56,33
52,1,1.56,34
54,1,1.56,35
55,1,1.56,36
56,1,1.56,37
58,1,1.56,38
60,1,1.56,39
63,1,1.56,40
0,0,0.00,41
1,0,0.00,42
8,0,0.00,43
13,0,0.00,44
17,0,0.00,45
21,0,0.00,46
22,0,0.00,47
23,0,0.00,48
24,0,0.00,49
30,0,0.00,50
33,0,0.00,51
36,0,0.00,52
40,0,0.00,53
41,0,0.00,54
42,0,0.00,55
44,0,0.00,56
46,0,0.00,57
50,0,0.00,58
51,0,0.00,59
53,0,0.00,60
57,0,0.00,61
59,0,0.00,62
61,0,0.00,63
62,0,0.00,64
