Expert_ID,Token_Count,Percentage,Rank
12,12,18.75,1
9,11,17.19,2
48,11,17.19,3
54,11,17.19,4
1,10,15.62,5
7,10,15.62,6
23,10,15.62,7
27,10,15.62,8
41,10,15.62,9
52,10,15.62,10
58,10,15.62,11
29,9,14.06,12
49,9,14.06,13
62,9,14.06,14
17,8,12.50,15
32,8,12.50,16
44,8,12.50,17
47,8,12.50,18
5,7,10.94,19
16,7,10.94,20
21,7,10.94,21
24,7,10.94,22
31,7,10.94,23
46,7,10.94,24
51,7,10.94,25
3,6,9.38,26
4,6,9.38,27
15,6,9.38,28
18,6,9.38,29
20,6,9.38,30
22,6,9.38,31
28,6,9.38,32
45,6,9.38,33
55,6,9.38,34
60,6,9.38,35
2,5,7.81,36
8,5,7.81,37
11,5,7.81,38
13,5,7.81,39
14,5,7.81,40
37,5,7.81,41
39,5,7.81,42
40,5,7.81,43
53,5,7.81,44
57,5,7.81,45
19,4,6.25,46
30,4,6.25,47
34,4,6.25,48
35,4,6.25,49
38,4,6.25,50
0,3,4.69,51
6,3,4.69,52
26,3,4.69,53
33,3,4.69,54
36,3,4.69,55
61,3,4.69,56
10,2,3.12,57
25,2,3.12,58
50,2,3.12,59
56,2,3.12,60
59,2,3.12,61
42,1,1.56,62
43,1,1.56,63
63,1,1.56,64
