NPU Expert Operations - Total Cycles
Decoder-BS64/5th/npu/4
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    13   68            149
             2      353536   67    13   67            147
             3      353536   67    14   67            148
             5      353600   68    12   67            147
             7      353536   67    12   68            147
             8      353600   68    12   67            147
             9      353536   67    13   67            147
            12      353536   68    14   68            150
            13      353536   68    14   68            150
            14      353536   68    13   68            149
            15      353536   67    12   68            147
            17      353536   68    13   67            148
            18      353536   67    13   68            148
            19      353536   67    14   67            148
            20      353536   67    13   67            147
            21      353536   68    12   67            147
            24      353536   67    12   68            147
            25      353536   68    13   68            149
            26      353536   67    13   67            147
            27      353536   68    13   67            148
            28      353536   68    15   68            151
            29      353536   67    13   67            147
            30      353536   68    12   67            147
            31      353600   67    15   67            149
            34      353536   67    12   68            147
            35      353536   68    14   68            150
            38      353536   68    12   67            147
            39      353600   67    13   67            147
            40      353536   68    12   67            147
            41      353536   67    12   67            146
            42      353536   67    12   68            147
            43      353536   68    14   68            150
            44      353536   68    13   67            148
            45      353536   68    13   68            149
            46      353536   67    12   68            147
            47      353536   68    13   68            149
            49      353536   67    12   68            147
            50      353536   68    13   68            149
            51      353536   67    12   68            147
            52      353536   68    14   68            150
            53      353536  117    16  116            249
            54      353536   68    14   68            150
            56      353536   68    12   67            147
            57      353536   67    12   67            146
            58      353536   67    13   68            148
            59      353536   67    13   67            147
            61      353536   68    13   68            149
            62      353536   67    13   68            148
            63      353536   67    13   67            147
