Expert_ID,Token_Count,Percentage,Rank
53,11,17.19,1
9,10,15.62,2
30,10,15.62,3
52,10,15.62,4
54,10,15.62,5
6,9,14.06,6
16,9,14.06,7
28,9,14.06,8
63,9,14.06,9
2,8,12.50,10
5,8,12.50,11
7,8,12.50,12
26,8,12.50,13
33,8,12.50,14
38,8,12.50,15
41,8,12.50,16
43,8,12.50,17
48,8,12.50,18
55,8,12.50,19
56,8,12.50,20
57,8,12.50,21
61,8,12.50,22
8,7,10.94,23
27,7,10.94,24
49,7,10.94,25
51,7,10.94,26
1,6,9.38,27
3,6,9.38,28
14,6,9.38,29
17,6,9.38,30
29,6,9.38,31
37,6,9.38,32
40,6,9.38,33
46,6,9.38,34
58,6,9.38,35
11,5,7.81,36
12,5,7.81,37
25,5,7.81,38
31,5,7.81,39
32,5,7.81,40
34,5,7.81,41
35,5,7.81,42
42,5,7.81,43
44,5,7.81,44
50,5,7.81,45
59,5,7.81,46
62,5,7.81,47
0,4,6.25,48
10,4,6.25,49
13,4,6.25,50
15,4,6.25,51
22,4,6.25,52
39,4,6.25,53
45,4,6.25,54
47,4,6.25,55
60,4,6.25,56
4,3,4.69,57
23,3,4.69,58
18,2,3.12,59
19,2,3.12,60
20,2,3.12,61
24,2,3.12,62
36,1,1.56,63
21,0,0.00,64
