PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0 121146   211 121141         242498
             1 177464   305 177450         355219
             2 143658   244 143657         287559
             3 135223   230 135224         270677
             4 157753   519 157737         316009
             5 107064   313 107050         214427
             6 121144   223 121142         242509
             7 112695   200 112696         225591
             8 104249   186 104247         208682
             9 194360   316 194583         389259
            10 152106   254 152120         304480
            11 123959   215 123958         248132
            12 157753   331 157753         315837
            13 143672   257 143660         287589
            14 140856   241 140871         281968
            15 112695   198 112705         225598
            16 197177   452 197176         394805
            17 157752   277 157741         315770
            18 135225   246 135210         270681
            19 171831   285 171842         343958
            20 138041   236 138031         276308
            21 129592   223 129592         259407
            22 118328   207 118524         237059
            23 140855   241 140850         281946
            24 121146   213 121152         242511
            25 152120   254 152121         304495
            26 135224   232 135209         270665
            27 109879   203 109879         219961
            28 129593   444 129602         259639
            29 160568   268 160554         321390
            30 138040   235 138027         276302
            31 138039   465 138040         276544
            32 174649   289 174649         349587
            33  50741   111  50737         101589
            34 138040   243 138041         276324
            35 138044   237 138028         276309
            36 126778   224 126761         253763
            37 115513   204 115498         231215
            38 129592   235 129579         259406
            39 143671   242 143672         287585
            40 123962   215 123960         248137
            41  50738   111  50740         101589
            42 123960   216 124119         248295
            43 166200   274 166200         332674
            44 157751   272 157739         315762
            45 152121   258 152107         304486
            46 143672   356 143658         287686
            47 121144   378 121131         242653
            48 118327   208 118325         236860
            49 174649   289 174637         349575
            50 140854   244 140855         281953
            51 118328   208 118313         236849
            52 146487   247 146474         293208
            53 126777   221 126774         253772
            54 135224   232 135210         270666
            55 174648   485 174646         349779
            56 126775   226 126762         253763
            57 157850   262 157751         315863
            58 143672   244 143658         287574
            59 169016   322 169002         338340
            60 121142   210 121130         242482
            61 166201   278 166205         332684
            62 129592   234 129579         259405
            63  39475    96  39468          79039
