Expert_ID,Token_Count,Percentage,Rank
36,5,7.81,1
62,5,7.81,2
5,4,6.25,3
22,4,6.25,4
50,4,6.25,5
59,4,6.25,6
2,3,4.69,7
58,3,4.69,8
1,2,3.12,9
29,2,3.12,10
41,2,3.12,11
56,2,3.12,12
4,1,1.56,13
7,1,1.56,14
10,1,1.56,15
14,1,1.56,16
16,1,1.56,17
17,1,1.56,18
19,1,1.56,19
23,1,1.56,20
24,1,1.56,21
27,1,1.56,22
28,1,1.56,23
30,1,1.56,24
31,1,1.56,25
32,1,1.56,26
33,1,1.56,27
37,1,1.56,28
38,1,1.56,29
39,1,1.56,30
42,1,1.56,31
46,1,1.56,32
49,1,1.56,33
55,1,1.56,34
57,1,1.56,35
63,1,1.56,36
0,0,0.00,37
3,0,0.00,38
6,0,0.00,39
8,0,0.00,40
9,0,0.00,41
11,0,0.00,42
12,0,0.00,43
13,0,0.00,44
15,0,0.00,45
18,0,0.00,46
20,0,0.00,47
21,0,0.00,48
25,0,0.00,49
26,0,0.00,50
34,0,0.00,51
35,0,0.00,52
40,0,0.00,53
43,0,0.00,54
44,0,0.00,55
45,0,0.00,56
47,0,0.00,57
48,0,0.00,58
51,0,0.00,59
52,0,0.00,60
53,0,0.00,61
54,0,0.00,62
60,0,0.00,63
61,0,0.00,64
