PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0 109882   196 109880         219958
             1 121144   210 121131         242485
             2 129592   223 129832         259647
             3  81719   154  81703         163576
             4 166202   275 166209         332686
             5 138041   250 138283         276574
             6 115512   206 115511         231229
             7 143671   260 143657         287588
             8 132410   236 132406         265052
             9 171834   282 171834         343950
            10 126776   219 126764         253759
            11 152119   256 152118         304493
            12 129594   389 129592         259575
            13 112697   198 112684         225579
            14 109880   195 109882         219957
            15 146487   247 146487         293221
            16 118330   209 118330         236869
            17 169017   279 169015         338311
            18 149304   251 149313         298868
            19 132407   228 132410         265045
            20  98618   180  98614         197412
            21 146489   411 146496         293396
            22 154936   272 154924         310132
            23 132407   226 132408         265041
            24 135226   232 135211         270669
            25 149305   252 149290         298847
            26 138040   237 138043         276320
            27 121143   212 121132         242487
            28  92986   172  92971         186129
            29 152121   254 152254         304629
            30 109880   195 109868         219943
            31 132407   227 132395         265029
            32 152122   255 152106         304483
            33 140857   249 140858         281964
            34  98616   188  98615         197419
            35 107063   190 107050         214303
            36 140858   246 140843         281947
            37 126777   218 126764         253759
            38 160568   280 160567         321415
            39 132407   229 132407         265043
            40 163386   493 163385         327264
            41 140972   240 140841         282053
            42 152120   269 152105         304494
            43 160567   269 160579         321415
            44 154938   259 154936         310133
            45 126777   221 126774         253772
            46 129592   223 129580         259395
            47 146487   247 146487         293221
            48 104250   188 104256         208694
            49  81721   156  81714         163591
            50 140858   240 140857         281955
            51 135225   230 135222         270677
            52 109880   195 109868         219943
            53 132407   229 132396         265032
            54 171834   282 171847         343963
            55 166187   275 166192         332654
            56 135224   231 135212         270667
            57 225335   360 225338         451033
            58 140858   238 140856         281952
            59 126777   514 126763         254054
            60 191544   318 191548         383410
            61 146487   249 146487         293223
            62  98618   179  98630         197427
            63 163385   273 163385         327043
