Expert_ID,Token_Count,Percentage,Rank
62,84,4.10,1
0,79,3.86,2
45,73,3.56,3
7,59,2.88,4
4,53,2.59,5
48,53,2.59,6
39,52,2.54,7
58,50,2.44,8
14,48,2.34,9
36,47,2.29,10
17,46,2.25,11
19,45,2.20,12
55,45,2.20,13
20,44,2.15,14
34,41,2.00,15
13,40,1.95,16
9,39,1.90,17
60,38,1.86,18
11,37,1.81,19
18,37,1.81,20
46,37,1.81,21
2,35,1.71,22
25,35,1.71,23
35,35,1.71,24
61,35,1.71,25
12,32,1.56,26
22,32,1.56,27
33,32,1.56,28
52,31,1.51,29
54,31,1.51,30
63,31,1.51,31
30,29,1.42,32
31,29,1.42,33
40,29,1.42,34
42,29,1.42,35
38,28,1.37,36
49,28,1.37,37
29,27,1.32,38
32,27,1.32,39
37,27,1.32,40
59,27,1.32,41
28,26,1.27,42
16,25,1.22,43
41,25,1.22,44
26,24,1.17,45
57,24,1.17,46
43,22,1.07,47
47,22,1.07,48
51,22,1.07,49
8,18,0.88,50
6,17,0.83,51
27,17,0.83,52
53,17,0.83,53
1,16,0.78,54
10,16,0.78,55
15,16,0.78,56
24,16,0.78,57
44,16,0.78,58
21,13,0.63,59
50,12,0.59,60
3,10,0.49,61
23,10,0.49,62
5,8,0.39,63
56,0,0.00,64
