Expert_ID,Token_Count,Percentage,Rank
2,4,6.25,1
4,3,4.69,2
23,3,4.69,3
28,3,4.69,4
32,3,4.69,5
1,2,3.12,6
3,2,3.12,7
6,2,3.12,8
12,2,3.12,9
22,2,3.12,10
24,2,3.12,11
29,2,3.12,12
31,2,3.12,13
38,2,3.12,14
50,2,3.12,15
54,2,3.12,16
56,2,3.12,17
57,2,3.12,18
59,2,3.12,19
5,1,1.56,20
7,1,1.56,21
11,1,1.56,22
14,1,1.56,23
17,1,1.56,24
18,1,1.56,25
19,1,1.56,26
20,1,1.56,27
26,1,1.56,28
33,1,1.56,29
34,1,1.56,30
36,1,1.56,31
37,1,1.56,32
42,1,1.56,33
43,1,1.56,34
45,1,1.56,35
47,1,1.56,36
55,1,1.56,37
61,1,1.56,38
62,1,1.56,39
0,0,0.00,40
8,0,0.00,41
9,0,0.00,42
10,0,0.00,43
13,0,0.00,44
15,0,0.00,45
16,0,0.00,46
21,0,0.00,47
25,0,0.00,48
27,0,0.00,49
30,0,0.00,50
35,0,0.00,51
39,0,0.00,52
40,0,0.00,53
41,0,0.00,54
44,0,0.00,55
46,0,0.00,56
48,0,0.00,57
49,0,0.00,58
51,0,0.00,59
52,0,0.00,60
53,0,0.00,61
58,0,0.00,62
60,0,0.00,63
63,0,0.00,64
