NPU Expert Operations - Total Cycles
Decoder-BS64/10th/npu/2
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    13   68            149
             1      353600   67    12   68            147
             2      353536   68    12   68            148
             3      353536   68    13   67            148
             4      353536   68    12   68            148
             5      353600   68    12   67            147
             6      353600   67    15   67            149
             7      353536   68    13   68            149
             8      353600   67    14   67            148
             9      353536   67    12   68            147
            10      353536   68    13   68            149
            11      353536   67    13   68            148
            14      353536   67    14   67            148
            15      353536   67    12   67            146
            16      353536   67    12   68            147
            17      353536   68    12   67            147
            18      353536   67    14   67            148
            20      353536  117    16  116            249
            21      353536   67    13   67            147
            22      353536   68    14   68            150
            23      353536   68    12   67            147
            26      353536   67    14   67            148
            27      353536   67    12   68            147
            28      353536   68    13   68            149
            29      353536   67    15   67            149
            30      353536   68    12   67            147
            31      353600   67    12   67            146
            32      353600   67    12   68            147
            33      353536   68    15   68            151
            34      353536   67    13   67            147
            35      353536   68    13   67            148
            36      353536   67    13   68            148
            37      353536   67    12   67            146
            38      353536   67    12   68            147
            39      353600   68    12   67            147
            40      353536   67    12   68            147
            41      353536   68    12   68            148
            43      353536   68    12   67            147
            44      353536   67    12   68            147
            46      353536   68    13   68            149
            48      353536   67    13   67            147
            49      353536   68    13   67            148
            50      353536   68    12   68            148
            52      353536   67    14   67            148
            53      353536   67    12   67            146
            54      353536   67    14   67            148
            58      353536   67    13   68            148
            61      353536  117    16  116            249
            62      353536   67    13   67            147
            63      353536   68    12   67            147
