NPU Expert Operations - Total Cycles
Decoder-BS64/2nd/npu/2
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    14   68            150
             1      353600   68    13   68            149
             2      353536   67    14   67            148
             3      353536   67    15   67            149
             6      353600   68    12   67            147
             8      353600   67    13   67            147
             9      353536   68    13   68            149
            11      353536   67    13   68            148
            12      353536   67    12   67            146
            14      353536   67    12   68            147
            15      353536   68    15   68            151
            16      353536   67    14   67            148
            17      353536   67    13   67            147
            18      353536   68    13   67            148
            20      353536   68    13   68            149
            21      353536   67    13   67            147
            23      353536   67    14   67            148
            24      353536   67    13   67            147
            25      353536   68    13   68            149
            26      353536   67    12   68            147
            27      353536   68    12   67            147
            28      353536   67    14   67            148
            29      353536   67    13   67            147
            30      353536   68    13   68            149
            31      353600   67    12   68            147
            32      353600   68    14   68            150
            33      353536   68    12   67            147
            34      353536   67    12   67            146
            35      353536   68    14   68            150
            36      353536   68    12   68            148
            37      353536   68    15   68            151
            38      353536   67    13   67            147
            39      353600   68    12   67            147
            40      353536   67    12   68            147
            42      353536   68    12   68            148
            45      353536   68    12   67            147
            46      353536   67    12   68            147
            48      353536   68    12   67            147
            49      353536   67    12   67            146
            50      353536   67    13   68            148
            52      353536   67    12   67            146
            53      353536   67    12   68            147
            54      353536   68    13   68            149
            55      353536   67    12   68            147
            56      353536   68    12   67            147
            57      353536   67    13   67            147
            58      353536   68    12   67            147
            59      353536   67    12   67            146
            61      353536   68    15   67            150
            62      353536   68    13   67            148
            63      353536   68    14   68            150
