Expert_ID,Token_Count,Percentage,Rank
22,9,14.06,1
1,5,7.81,2
7,5,7.81,3
35,5,7.81,4
21,4,6.25,5
26,4,6.25,6
31,4,6.25,7
39,4,6.25,8
57,4,6.25,9
4,3,4.69,10
16,3,4.69,11
20,3,4.69,12
25,3,4.69,13
28,3,4.69,14
37,3,4.69,15
41,3,4.69,16
46,3,4.69,17
53,3,4.69,18
58,3,4.69,19
62,3,4.69,20
6,2,3.12,21
9,2,3.12,22
10,2,3.12,23
11,2,3.12,24
12,2,3.12,25
13,2,3.12,26
17,2,3.12,27
23,2,3.12,28
38,2,3.12,29
44,2,3.12,30
45,2,3.12,31
50,2,3.12,32
51,2,3.12,33
52,2,3.12,34
55,2,3.12,35
56,2,3.12,36
60,2,3.12,37
0,1,1.56,38
2,1,1.56,39
3,1,1.56,40
5,1,1.56,41
8,1,1.56,42
15,1,1.56,43
18,1,1.56,44
19,1,1.56,45
24,1,1.56,46
29,1,1.56,47
30,1,1.56,48
33,1,1.56,49
40,1,1.56,50
43,1,1.56,51
54,1,1.56,52
61,1,1.56,53
63,1,1.56,54
14,0,0.00,55
27,0,0.00,56
32,0,0.00,57
34,0,0.00,58
36,0,0.00,59
42,0,0.00,60
47,0,0.00,61
48,0,0.00,62
49,0,0.00,63
59,0,0.00,64
