Expert_ID,Token_Count,Percentage,Rank
31,12,18.75,1
63,12,18.75,2
15,10,15.62,3
55,10,15.62,4
2,9,14.06,5
6,9,14.06,6
18,9,14.06,7
26,9,14.06,8
43,9,14.06,9
47,9,14.06,10
48,9,14.06,11
62,9,14.06,12
4,8,12.50,13
10,8,12.50,14
11,8,12.50,15
57,8,12.50,16
58,8,12.50,17
8,7,10.94,18
34,7,10.94,19
42,7,10.94,20
45,7,10.94,21
49,7,10.94,22
52,7,10.94,23
54,7,10.94,24
61,7,10.94,25
3,6,9.38,26
5,6,9.38,27
7,6,9.38,28
19,6,9.38,29
40,6,9.38,30
46,6,9.38,31
50,6,9.38,32
56,6,9.38,33
60,6,9.38,34
0,5,7.81,35
13,5,7.81,36
14,5,7.81,37
21,5,7.81,38
24,5,7.81,39
27,5,7.81,40
28,5,7.81,41
30,5,7.81,42
35,5,7.81,43
36,5,7.81,44
37,5,7.81,45
39,5,7.81,46
41,5,7.81,47
51,5,7.81,48
1,4,6.25,49
12,4,6.25,50
17,4,6.25,51
29,4,6.25,52
44,4,6.25,53
9,3,4.69,54
22,3,4.69,55
23,3,4.69,56
25,3,4.69,57
32,3,4.69,58
33,3,4.69,59
38,3,4.69,60
16,2,3.12,61
53,2,3.12,62
59,2,3.12,63
20,1,1.56,64
