NPU Expert Operations - Total Cycles
Decoder-BS64/6th/npu/6
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             2      353536   68    12   68            148
             4      353536   68    13   67            148
             5      353600   68    12   68            148
             6      353600   68    13   67            148
             7      353536   68    15   68            151
             8      353600   67    12   67            146
             9      353536   67    12   68            147
            10      353536   68    12   67            147
            14      353536   67    12   67            146
            15      353536   67    13   68            148
            16      353536   67    13   67            147
            18      353536   68    13   68            149
            22      353536   68    15   67            150
            23      353536   68    13   67            148
            24      353536   68    14   68            150
            26      353536   68    12   68            148
            27      353536   68    12   67            147
            28      353536   67    13   67            147
            29      353536   68    14   67            149
            30      353536   68    13   67            148
            31      353600   68    12   68            148
            33      353536   67    13   67            147
            34      353536   68    14   68            150
            37      353536   68    15   68            151
            39      353600   67    13   67            147
            40      353536   68    14   68            150
            41      353536  117    17  116            250
            42      353536   67    12   68            147
            43      353536   68    13   68            149
            44      353536   67    13   68            148
            45      353536   67    15   67            149
            46      353536   67    14   68            149
            47      353536   67    13   68            148
            48      353536   67    12   67            146
            49      353536  117    16  116            249
            51      353536   67    13   68            148
            53      353536   67    12   67            146
            54      353536   68    15   67            150
            55      353536   68    12   67            147
            56      353536   67    12   68            147
            57      353536   68    12   68            148
            58      353536   68    12   67            147
            62      353536  117    16  116            249
            63      353536   67    12   68            147
