Expert_ID,Token_Count,Percentage,Rank
21,7,10.94,1
1,6,9.38,2
16,6,9.38,3
13,5,7.81,4
47,5,7.81,5
55,5,7.81,6
5,4,6.25,7
9,4,6.25,8
10,4,6.25,9
34,4,6.25,10
36,4,6.25,11
42,4,6.25,12
43,4,6.25,13
4,3,4.69,14
6,3,4.69,15
8,3,4.69,16
33,3,4.69,17
51,3,4.69,18
58,3,4.69,19
3,2,3.12,20
12,2,3.12,21
15,2,3.12,22
17,2,3.12,23
19,2,3.12,24
28,2,3.12,25
29,2,3.12,26
31,2,3.12,27
37,2,3.12,28
38,2,3.12,29
40,2,3.12,30
41,2,3.12,31
45,2,3.12,32
52,2,3.12,33
61,2,3.12,34
2,1,1.56,35
7,1,1.56,36
11,1,1.56,37
18,1,1.56,38
24,1,1.56,39
25,1,1.56,40
26,1,1.56,41
27,1,1.56,42
32,1,1.56,43
35,1,1.56,44
46,1,1.56,45
48,1,1.56,46
49,1,1.56,47
54,1,1.56,48
56,1,1.56,49
60,1,1.56,50
62,1,1.56,51
63,1,1.56,52
0,0,0.00,53
14,0,0.00,54
20,0,0.00,55
22,0,0.00,56
23,0,0.00,57
30,0,0.00,58
39,0,0.00,59
44,0,0.00,60
50,0,0.00,61
53,0,0.00,62
57,0,0.00,63
59,0,0.00,64
