NPU Expert Operations - Total Cycles
Decoder-BS64/3rd/npu/3
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             1      353600   68    12   68            148
             3      353536   68    12   67            147
             4      353536   67    13   67            147
             5      353600   67    14   67            148
             9      353536   68    12   67            147
            11      353536   67    12   68            147
            12      353536   68    14   68            150
            13      353536   68    13   68            149
            14      353536   67    13   68            148
            15      353536   67    12   67            146
            16      353536   67    14   67            148
            17      353536   67    12   68            147
            19      353536   68    12   67            147
            20      353536   67    12   67            146
            21      353536   67    13   68            148
            23      353536   67    15   67            149
            24      353536   68    13   68            149
            25      353536   67    14   67            148
            26      353536   67    12   68            147
            27      353536   68    13   68            149
            28      353536   67    12   68            147
            29      353536   68    13   68            149
            30      353536   67    12   68            147
            31      353600   68    15   68            151
            32      353600   67    15   67            149
            33      353536   67    13   68            148
            34      353536   67    12   67            146
            35      353536   67    12   68            147
            36      353536   68    14   68            150
            38      353536   68    14   68            150
            40      353536   68    12   67            147
            43      353536   67    12   68            147
            45      353536   68    12   68            148
            46      353536   68    12   67            147
            48      353536   67    13   67            147
            50      353536  117    16  116            249
            51      353536   68    14   68            150
            52      353536  117    17  116            250
            53      353536   67    12   68            147
            54      353536   68    13   67            148
            55      353536   68    13   68            149
            56      353536   67    12   68            147
            57      353536   68    13   68            149
            59      353536   67    12   68            147
            60      353536   68    14   68            150
            61      353536   68    14   68            150
            62      353536   68    12   68            148
            63      353536   68    12   67            147
