Expert_ID,Token_Count,Percentage,Rank
42,12,18.75,1
0,10,15.62,2
4,10,15.62,3
17,10,15.62,4
26,10,15.62,5
54,10,15.62,6
7,9,14.06,7
8,9,14.06,8
20,9,14.06,9
23,9,14.06,10
24,9,14.06,11
39,9,14.06,12
44,9,14.06,13
50,9,14.06,14
53,9,14.06,15
15,8,12.50,16
30,8,12.50,17
46,8,12.50,18
47,8,12.50,19
1,7,10.94,20
9,7,10.94,21
18,7,10.94,22
19,7,10.94,23
25,7,10.94,24
27,7,10.94,25
29,7,10.94,26
36,7,10.94,27
58,7,10.94,28
59,7,10.94,29
2,6,9.38,30
10,6,9.38,31
16,6,9.38,32
33,6,9.38,33
35,6,9.38,34
45,6,9.38,35
63,6,9.38,36
5,5,7.81,37
32,5,7.81,38
43,5,7.81,39
48,5,7.81,40
49,5,7.81,41
60,5,7.81,42
61,5,7.81,43
31,4,6.25,44
34,4,6.25,45
40,4,6.25,46
51,4,6.25,47
52,4,6.25,48
55,4,6.25,49
62,4,6.25,50
3,3,4.69,51
6,3,4.69,52
11,3,4.69,53
21,3,4.69,54
28,3,4.69,55
38,3,4.69,56
41,3,4.69,57
56,3,4.69,58
13,2,3.12,59
14,2,3.12,60
22,2,3.12,61
57,2,3.12,62
12,1,1.56,63
37,1,1.56,64
