Expert_ID,Token_Count,Percentage,Rank
36,14,21.88,1
35,11,17.19,2
38,11,17.19,3
50,11,17.19,4
2,10,15.62,5
15,10,15.62,6
5,9,14.06,7
19,9,14.06,8
23,9,14.06,9
25,9,14.06,10
33,9,14.06,11
49,9,14.06,12
52,9,14.06,13
4,8,12.50,14
7,8,12.50,15
8,8,12.50,16
12,8,12.50,17
21,8,12.50,18
10,7,10.94,19
16,7,10.94,20
17,7,10.94,21
20,7,10.94,22
24,7,10.94,23
29,7,10.94,24
31,7,10.94,25
43,7,10.94,26
60,7,10.94,27
63,7,10.94,28
11,6,9.38,29
13,6,9.38,30
37,6,9.38,31
40,6,9.38,32
41,6,9.38,33
47,6,9.38,34
58,6,9.38,35
61,6,9.38,36
3,5,7.81,37
34,5,7.81,38
39,5,7.81,39
44,5,7.81,40
0,4,6.25,41
1,4,6.25,42
18,4,6.25,43
26,4,6.25,44
27,4,6.25,45
32,4,6.25,46
42,4,6.25,47
45,4,6.25,48
51,4,6.25,49
53,4,6.25,50
54,4,6.25,51
9,3,4.69,52
14,3,4.69,53
28,3,4.69,54
30,3,4.69,55
48,3,4.69,56
56,3,4.69,57
57,3,4.69,58
62,3,4.69,59
22,2,3.12,60
55,2,3.12,61
59,2,3.12,62
6,1,1.56,63
46,1,1.56,64
