NPU Expert Operations - Total Cycles
Decoder-BS64/3rd/npu/9
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    12   68            148
             1      353600   68    12   67            147
             2      353536   67    14   67            148
             3      353536   67    13   67            147
             4      353536   68    12   67            147
             5      353600   67    12   68            147
             6      353600   68    12   67            147
             7      353536   67    15   68            150
             8      353600   67    12   68            147
             9      353536   68    12   67            147
            11      353536   67    13   67            147
            12      353536   68    13   68            149
            13      353536   67    12   68            147
            16      353536  117    16  116            249
            17      353536  117    16  116            249
            18      353536   68    12   67            147
            21      353536   67    13   67            147
            22      353536   68    13   68            149
            23      353536   67    13   68            148
            24      353536   67    13   67            147
            25      353536   68    13   67            148
            26      353536   68    13   68            149
            27      353536   67    13   67            147
            28      353536   68    14   68            150
            29      353536   68    14   67            149
            30      353536   68    13   67            148
            31      353600   68    12   68            148
            32      353600   68    12   67            147
            33      353536   67    12   68            147
            35      353536   68    13   68            149
            36      353536   67    13   68            148
            37      353536   67    12   67            146
            38      353536   67    13   68            148
            39      353600   67    12   67            146
            40      353536   67    15   67            149
            42      353536   68    12   67            147
            43      353536   67    13   67            147
            45      353536   68    12   67            147
            46      353536   67    13   67            147
            47      353536   68    13   67            148
            48      353536   68    12   68            148
            49      353536   68    12   67            147
            50      353536   67    13   67            147
            51      353536   68    12   67            147
            52      353536   67    14   67            148
            53      353536   67    12   68            147
            54      353536   68    15   68            151
            57      353536   67    12   67            146
            60      353536   67    12   68            147
            61      353536   68    12   67            147
            63      353536   67    14   67            148
