Expert_ID,Token_Count,Percentage,Rank
6,6,9.38,1
60,6,9.38,2
13,5,7.81,3
17,5,7.81,4
48,5,7.81,5
2,4,6.25,6
16,4,6.25,7
18,4,6.25,8
22,4,6.25,9
29,4,6.25,10
45,4,6.25,11
1,3,4.69,12
8,3,4.69,13
10,3,4.69,14
12,3,4.69,15
21,3,4.69,16
28,3,4.69,17
30,3,4.69,18
42,3,4.69,19
47,3,4.69,20
50,3,4.69,21
54,3,4.69,22
58,3,4.69,23
3,2,3.12,24
5,2,3.12,25
9,2,3.12,26
19,2,3.12,27
23,2,3.12,28
26,2,3.12,29
34,2,3.12,30
36,2,3.12,31
41,2,3.12,32
43,2,3.12,33
53,2,3.12,34
0,1,1.56,35
4,1,1.56,36
7,1,1.56,37
11,1,1.56,38
15,1,1.56,39
20,1,1.56,40
25,1,1.56,41
27,1,1.56,42
31,1,1.56,43
32,1,1.56,44
33,1,1.56,45
35,1,1.56,46
37,1,1.56,47
39,1,1.56,48
44,1,1.56,49
46,1,1.56,50
49,1,1.56,51
61,1,1.56,52
62,1,1.56,53
14,0,0.00,54
24,0,0.00,55
38,0,0.00,56
40,0,0.00,57
51,0,0.00,58
52,0,0.00,59
55,0,0.00,60
56,0,0.00,61
57,0,0.00,62
59,0,0.00,63
63,0,0.00,64
