Expert_ID,Token_Count,Percentage,Rank
33,15,23.44,1
47,13,20.31,2
6,10,15.62,3
23,10,15.62,4
52,10,15.62,5
3,9,14.06,6
11,9,14.06,7
17,9,14.06,8
34,9,14.06,9
37,9,14.06,10
55,9,14.06,11
63,9,14.06,12
1,8,12.50,13
2,8,12.50,14
8,8,12.50,15
27,8,12.50,16
38,8,12.50,17
43,8,12.50,18
58,8,12.50,19
59,8,12.50,20
10,7,10.94,21
20,7,10.94,22
22,7,10.94,23
44,7,10.94,24
46,7,10.94,25
50,7,10.94,26
57,7,10.94,27
60,7,10.94,28
18,6,9.38,29
30,6,9.38,30
42,6,9.38,31
53,6,9.38,32
62,6,9.38,33
0,5,7.81,34
5,5,7.81,35
14,5,7.81,36
21,5,7.81,37
25,5,7.81,38
26,5,7.81,39
32,5,7.81,40
36,5,7.81,41
45,5,7.81,42
48,5,7.81,43
49,5,7.81,44
9,4,6.25,45
13,4,6.25,46
19,4,6.25,47
24,4,6.25,48
29,4,6.25,49
40,4,6.25,50
61,4,6.25,51
4,3,4.69,52
12,3,4.69,53
15,3,4.69,54
31,3,4.69,55
51,3,4.69,56
54,3,4.69,57
7,2,3.12,58
16,2,3.12,59
28,2,3.12,60
41,2,3.12,61
56,2,3.12,62
35,1,1.56,63
39,1,1.56,64
