NPU Expert Operations - Total Cycles
Decoder-BS64/1st/npu/9
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    12   68            148
             1      353600   68    13   67            148
             2      353536   68    14   68            150
             3      353536   68    12   68            148
             4      353536   67    13   67            147
             5      353600   68    12   67            147
             6      353600   67    12   67            146
             7      353536   67    15   67            149
             8      353600   68    12   67            147
             9      353536   67    14   67            148
            10      353536   67    13   67            147
            12      353536   68    15   68            151
            13      353536   67    12   67            146
            15      353536   68    13   68            149
            16      353536   67    13   67            147
            17      353536   68    13   67            148
            19      353536   68    14   68            150
            20      353536   68    12   68            148
            21      353536   67    15   68            150
            23      353536   67    12   68            147
            24      353536   68    14   68            150
            25      353536   68    12   67            147
            27      353536   67    12   67            146
            29      353536   67    12   68            147
            31      353600   68    14   68            150
            32      353600   68    12   67            147
            33      353536   67    13   67            147
            35      353536   68    14   68            150
            36      353536   68    15   68            151
            37      353536   67    12   68            147
            38      353536   68    13   68            149
            40      353536   67    13   67            147
            41      353536   68    13   67            148
            42      353536   68    12   68            148
            43      353536   68    13   67            148
            44      353536   68    12   68            148
            45      353536   67    13   67            147
            47      353536   68    15   68            151
            48      353536   67    13   67            147
            49      353536   68    12   67            147
            51      353536   67    13   67            147
            52      353536   68    14   68            150
            53      353536   68    13   67            148
            54      353536   67    12   68            147
            55      353536   68    12   67            147
            56      353536   67    13   67            147
            59      353536   68    12   67            147
            61      353536   67    13   67            147
            63      353536   68    13   67            148
