PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0 118330   207 118335         236872
             1 211256   372 211242         422870
             2 107064   191 107051         214306
             3 185911   303 186144         372358
             4 180278   295 180389         360962
             5 157752   264 157737         315753
             6 121144   210 121142         242496
             7 132407   227 132396         265030
             8 143673   243 143658         287574
             9 149304   253 149290         298847
            10 109880   208 109866         219954
            11 112695   239 112682         225616
            12 118540   207 118327         237074
            13 101432   185 101430         203047
            14 138040   236 138049         276325
            15 157751   262 157738         315751
            16 152121   268 152121         304510
            17 154936   258 154948         310142
            18 118328   207 118317         236852
            19 121328   210 121131         242669
            20 140857   238 140844         281939
            21 214072   344 214072         428488
            22 118328   207 118315         236850
            23  81719   156  81701         163576
            24  87351   164  87362         174877
            25 138040   236 138039         276315
            26  81719   155  81701         163575
            27  90169   167  90157         180493
            28 222833   356 222519         445708
            29 149303   252 149302         298857
            30 132410   227 132394         265031
            31 152121   255 152135         304511
            32  81720   156  81702         163578
            33 194361   315 194345         389021
            34 211256   338 211254         422848
            35 160572   266 160568         321406
            36 129594   224 129591         259409
            37 171834   375 171832         344041
            38 253496   399 253498         507393
            39  73271   147  73254         146672
            40  95800   188  95792         191780
            41 126775   235 126781         253791
            42 140857   241 140843         281941
            43 104248   188 104248         208684
            44  84536   160  84542         169238
            45 149303   251 149302         298856
            46 129917   225 129579         259721
            47 166200   275 166198         332673
            48 157752   264 157751         315767
            49 135223   239 135223         270685
            50 140857   241 140845         281943
            51 135224   232 135234         270690
            52  87352   165  87355         174872
            53 149304   250 149305         298859
            54  87351   164  87349         174864
            55 143672   243 143674         287589
            56 132607   438 132396         265441
            57  92986   177  92985         186148
            58 115513   204 115511         231228
            59 146488   248 146487         293223
            60 129591   225 129580         259396
            61 115514   202 115522         231238
            62  92985   180  92986         186151
            63 185912   304 185911         372127
