Expert_ID,Token_Count,Percentage,Rank
49,121,5.91,1
42,114,5.57,2
26,109,5.32,3
12,106,5.18,4
21,102,4.98,5
52,102,4.98,6
31,97,4.74,7
17,96,4.69,8
45,94,4.59,9
13,90,4.39,10
62,88,4.30,11
57,85,4.15,12
60,84,4.10,13
0,83,4.05,14
23,83,4.05,15
14,82,4.00,16
61,82,4.00,17
4,81,3.96,18
3,80,3.91,19
29,80,3.91,20
63,80,3.91,21
54,77,3.76,22
6,75,3.66,23
39,74,3.61,24
11,73,3.56,25
7,72,3.52,26
2,71,3.47,27
16,70,3.42,28
32,69,3.37,29
44,69,3.37,30
47,69,3.37,31
50,67,3.27,32
56,67,3.27,33
36,63,3.08,34
10,62,3.03,35
59,58,2.83,36
15,56,2.73,37
33,55,2.69,38
48,55,2.69,39
41,54,2.64,40
22,53,2.59,41
1,51,2.49,42
53,50,2.44,43
8,48,2.34,44
34,48,2.34,45
38,48,2.34,46
43,48,2.34,47
55,46,2.25,48
24,45,2.20,49
18,44,2.15,50
25,43,2.10,51
37,42,2.05,52
40,41,2.00,53
5,40,1.95,54
19,39,1.90,55
20,38,1.86,56
28,33,1.61,57
35,30,1.46,58
51,24,1.17,59
27,23,1.12,60
30,20,0.98,61
9,19,0.93,62
58,15,0.73,63
46,13,0.63,64
