Expert_ID,Token_Count,Percentage,Rank
31,68,3.32,1
60,60,2.93,2
49,58,2.83,3
12,57,2.78,4
62,57,2.78,5
17,56,2.73,6
42,55,2.69,7
61,54,2.64,8
4,49,2.39,9
21,48,2.34,10
26,47,2.29,11
52,45,2.20,12
63,45,2.20,13
23,44,2.15,14
45,44,2.15,15
57,44,2.15,16
32,41,2.00,17
0,40,1.95,18
7,40,1.95,19
14,40,1.95,20
44,39,1.90,21
29,37,1.81,22
16,36,1.76,23
36,36,1.76,24
47,35,1.71,25
10,34,1.66,26
13,34,1.66,27
6,32,1.56,28
11,32,1.56,29
54,32,1.56,30
41,31,1.51,31
59,31,1.51,32
2,30,1.46,33
5,30,1.46,34
15,30,1.46,35
56,30,1.46,36
1,29,1.42,37
50,28,1.37,38
3,27,1.32,39
33,27,1.32,40
38,26,1.27,41
39,26,1.27,42
55,24,1.17,43
8,23,1.12,44
22,23,1.12,45
34,23,1.12,46
37,23,1.12,47
48,22,1.07,48
18,21,1.03,49
20,21,1.03,50
24,20,0.98,51
25,20,0.98,52
28,20,0.98,53
40,20,0.98,54
43,16,0.78,55
51,16,0.78,56
53,16,0.78,57
19,14,0.68,58
9,9,0.44,59
27,9,0.44,60
35,8,0.39,61
30,6,0.29,62
46,6,0.29,63
58,4,0.20,64
