PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0  98618   181  98603         197402
             1 123960   216 123960         248136
             2 149304   251 149291         298846
             3 157911   263 157752         315926
             4 112839   200 112922         225961
             5  90168   166  90155         180489
             6 166199   275 166201         332675
             7 135226   230 135209         270665
             8 101433   185 101683         203301
             9  47924   106  47921          95951
            10 123958   215 123959         248132
            11 174649   286 174646         349581
            12 149304   253 149304         298861
            13 199991   323 199993         400307
            14 140854   238 140841         281933
            15 135225   231 135236         270692
            16 152120   255 152340         304715
            17 188791   307 188714         377812
            18 126775   218 126774         253767
            19 107325   204 107065         214594
            20  90345   169  90168         180682
            21 166199   280 166352         332831
            22 154934   258 154921         310113
            23 146489   246 146473         293208
            24 101432   184 101417         203033
            25 129591   235 129576         259402
            26 152118   257 152262         304637
            27  84537   161  84517         169215
            28  64823   132  64817         129772
            29 188728   306 188728         377762
            30 129591   223 129579         259393
            31 163386   495 163384         327265
            32 146637   249 146487         293373
            33 138040   246 138048         276334
            34 129591   224 129580         259395
            35 129594   223 129578         259395
            36 143673   243 143833         287749
            37 115512   204 115522         231238
            38 115511   208 115500         231219
            39 180283   297 180268         360848
            40 141017   239 140855         282111
            41 112696   199 112684         225579
            42 183095   300 183084         366479
            43 160570   268 160566         321404
            44 101433   184 101418         203035
            45 169016   281 169138         338435
            46 109879   195 109867         219941
            47 149306   251 149304         298861
            48 118329   215 118314         236858
            49 146488   249 146489         293226
            50 132408   229 132397         265034
            51 104250   239 104250         208739
            52 171833   285 171833         343951
            53 112790   201 112935         225926
            54 169016   281 169001         338298
            55 216890   347 216874         434111
            56 155102   260 154949         310311
            57 154936   260 154935         310131
            58  59187   124  59186         118497
            59 146490   274 146489         293253
            60 123961   215 123945         248121
            61 160568   267 160556         321391
            62 140855   239 140857         281951
            63 126949   218 126775         253942
