PIM Expert Operations - Total Cycles
Note: 2 activation movements (fc1 and fc2)

--- Activation Movements ---
layer0.ffn.activation_movement_2: 143149 cycles
layer0.ffn.activation_movement_1: 143817 cycles
Total activation movement cycles: 286966
----------------------------

================================================================================
 Expert Number    fc1  gelu    fc2  total compute
             0  67642   140  67636         135418
             1 104248   189 104234         208671
             2 104247   188 104250         208685
             3 152122   254 152105         304481
             4 123961   214 123956         248131
             5 169016   281 169300         338597
             6 135223   230 135224         270677
             7 149306   251 149290         298847
             8  90169   168  90167         180504
             9 123960   218 123960         248138
            10 154935   277 154935         310147
            11 143674   243 143672         287589
            12 135226   230 135212         270668
            13 157942   263 157740         315945
            14 180422   297 180290         361009
            15 109882   197 109878         219957
            16 138304   236 138040         276580
            17 123960   216 123959         248135
            18 185911   302 185917         372130
            19 104250   188 104235         208673
            20 180281   303 180266         360850
            21 152197   491 152107         304795
            22 146487   246 146474         293207
            23 180282   295 180280         360857
            24 138041   241 138040         276322
            25 185912   305 185898         372115
            26 140855   238 140842         281935
            27 146490   252 146637         293379
            28 129593   224 129578         259395
            29  98616   181  98602         197399
            30 118328   206 118328         236862
            31 157754   262 157942         315958
            32 135225   231 135223         270679
            33 135224   233 135220         270677
            34 118327   207 118335         236869
            35 126778   231 126778         253787
            36 138041   234 138028         276303
            37 135224   233 135224         270681
            38 121143   213 121143         242499
            39 157754   447 157752         315953
            40 163385   271 163369         327025
            41 143672   242 143680         287594
            42  90167   168  90166         180501
            43 112698   198 112695         225591
            44 135225   232 135358         270815
            45  53557   114  53555         107226
            46 157754   265 157754         315773
            47 149305   260 149307         298872
            48 143672   248 143657         287577
            49 154935   259 154925         310119
            50 194362   316 194580         389258
            51 157753   263 157751         315767
            52  39475   359  39463          79297
            53 121143   211 121142         242496
            54 154938   260 154936         310134
            55 109881   195 109865         219941
            56 140856   240 140845         281941
            57 194359   315 194361         389035
            58 149306   251 149304         298861
            59 152121   525 152120         304766
            60 135224   242 135225         270691
            61  76087   222  76069         152378
            62 135225   230 135223         270678
            63 163568   271 163579         327418
