Expert_ID,Token_Count,Percentage,Rank
24,6,9.38,1
20,5,7.81,2
30,5,7.81,3
39,5,7.81,4
42,5,7.81,5
44,5,7.81,6
46,5,7.81,7
0,4,6.25,8
17,4,6.25,9
18,4,6.25,10
60,4,6.25,11
7,3,4.69,12
9,3,4.69,13
10,3,4.69,14
27,3,4.69,15
29,3,4.69,16
32,3,4.69,17
36,3,4.69,18
40,3,4.69,19
45,3,4.69,20
48,3,4.69,21
54,3,4.69,22
2,2,3.12,23
8,2,3.12,24
22,2,3.12,25
25,2,3.12,26
33,2,3.12,27
34,2,3.12,28
41,2,3.12,29
47,2,3.12,30
49,2,3.12,31
51,2,3.12,32
53,2,3.12,33
58,2,3.12,34
61,2,3.12,35
62,2,3.12,36
1,1,1.56,37
4,1,1.56,38
5,1,1.56,39
6,1,1.56,40
13,1,1.56,41
14,1,1.56,42
15,1,1.56,43
19,1,1.56,44
21,1,1.56,45
26,1,1.56,46
31,1,1.56,47
38,1,1.56,48
43,1,1.56,49
55,1,1.56,50
59,1,1.56,51
3,0,0.00,52
11,0,0.00,53
12,0,0.00,54
16,0,0.00,55
23,0,0.00,56
28,0,0.00,57
35,0,0.00,58
37,0,0.00,59
50,0,0.00,60
52,0,0.00,61
56,0,0.00,62
57,0,0.00,63
63,0,0.00,64
