Expert_ID,Token_Count,Percentage,Rank
62,274,13.38,1
17,261,12.74,2
20,246,12.01,3
25,244,11.91,4
7,235,11.47,5
32,232,11.33,6
0,231,11.28,7
2,231,11.28,8
58,228,11.13,9
54,223,10.89,10
35,222,10.84,11
33,219,10.69,12
48,217,10.60,13
18,216,10.55,14
45,215,10.50,15
34,212,10.35,16
26,208,10.16,17
4,207,10.11,18
9,207,10.11,19
14,207,10.11,20
22,205,10.01,21
12,202,9.86,22
44,202,9.86,23
31,200,9.77,24
36,200,9.77,25
63,200,9.77,26
40,197,9.62,27
29,196,9.57,28
53,196,9.57,29
59,196,9.57,30
21,194,9.47,31
42,194,9.47,32
46,193,9.42,33
11,192,9.38,34
13,192,9.38,35
16,192,9.38,36
37,192,9.38,37
39,192,9.38,38
19,190,9.28,39
55,189,9.23,40
47,185,9.03,41
57,184,8.98,42
24,182,8.89,43
51,180,8.79,44
49,179,8.74,45
28,178,8.69,46
60,178,8.69,47
61,178,8.69,48
30,176,8.59,49
41,175,8.54,50
8,174,8.50,51
52,174,8.50,52
38,171,8.35,53
23,169,8.25,54
43,164,8.01,55
6,157,7.67,56
10,151,7.37,57
5,144,7.03,58
15,144,7.03,59
50,143,6.98,60
3,133,6.49,61
1,132,6.45,62
27,96,4.69,63
56,92,4.49,64
