Expert_ID,Token_Count,Percentage,Rank
4,4,6.25,1
33,4,6.25,2
12,3,4.69,3
38,3,4.69,4
39,3,4.69,5
54,3,4.69,6
3,2,3.12,7
7,2,3.12,8
26,2,3.12,9
42,2,3.12,10
52,2,3.12,11
56,2,3.12,12
58,2,3.12,13
59,2,3.12,14
60,2,3.12,15
62,2,3.12,16
8,1,1.56,17
10,1,1.56,18
13,1,1.56,19
14,1,1.56,20
15,1,1.56,21
18,1,1.56,22
19,1,1.56,23
20,1,1.56,24
21,1,1.56,25
23,1,1.56,26
24,1,1.56,27
28,1,1.56,28
30,1,1.56,29
31,1,1.56,30
37,1,1.56,31
40,1,1.56,32
41,1,1.56,33
43,1,1.56,34
44,1,1.56,35
47,1,1.56,36
53,1,1.56,37
55,1,1.56,38
61,1,1.56,39
63,1,1.56,40
0,0,0.00,41
1,0,0.00,42
2,0,0.00,43
5,0,0.00,44
6,0,0.00,45
9,0,0.00,46
11,0,0.00,47
16,0,0.00,48
17,0,0.00,49
22,0,0.00,50
25,0,0.00,51
27,0,0.00,52
29,0,0.00,53
32,0,0.00,54
34,0,0.00,55
35,0,0.00,56
36,0,0.00,57
45,0,0.00,58
46,0,0.00,59
48,0,0.00,60
49,0,0.00,61
50,0,0.00,62
51,0,0.00,63
57,0,0.00,64
