NPU Expert Operations - Total Cycles
Decoder-BS64/6th/npu/3
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             1      353600   68    12   68            148
             2      353536   68    12   67            147
             3      353536   67    13   67            147
             4      353536   68    12   67            147
             5      353600   67    14   67            148
             6      353600   67    13   68            148
             7      353536   67    15   68            150
             9      353536   67    12   68            147
            10      353536   68    14   68            150
            11      353536   68    15   68            151
            15      353536   67    15   67            149
            17      353536   67    12   68            147
            18      353536   68    12   67            147
            19      353536   67    12   68            147
            20      353536   68    12   68            148
            21      353536   68    13   67            148
            22      353536   68    14   68            150
            23      353536   68    12   68            148
            24      353536   68    12   67            147
            25      353536   67    13   67            147
            26      353536   68    12   67            147
            27      353536   67    12   68            147
            28      353536   68    14   68            150
            29      353536   68    12   67            147
            31      353600   67    12   67            146
            32      353600   67    12   68            147
            33      353536   68    15   68            151
            34      353536   67    12   67            146
            35      353536   67    12   68            147
            36      353536   68    12   67            147
            37      353536   67    13   67            147
            39      353600   68    12   67            147
            40      353536   67    14   67            148
            41      353536   67    13   67            147
            42      353536   68    14   68            150
            43      353536   67    15   68            150
            44      353536   67    12   68            147
            45      353536   68    14   68            150
            46      353536   68    12   67            147
            47      353536  117    16  116            249
            50      353536   67    13   67            147
            52      353536   68    12   67            147
            53      353536   67    13   67            147
            54      353536   68    13   68            149
            56      353536   67    12   68            147
            57      353536   68    12   67            147
            58      353536   67    14   67            148
            59      353536   67    13   67            147
            61      353536   68    12   67            147
            62      353536   67    12   67            146
            63      353536   67    12   68            147
