Expert_ID,Token_Count,Percentage,Rank
25,9,14.06,1
7,4,6.25,2
0,3,4.69,3
4,3,4.69,4
45,3,4.69,5
2,2,3.12,6
10,2,3.12,7
11,2,3.12,8
12,2,3.12,9
15,2,3.12,10
22,2,3.12,11
30,2,3.12,12
38,2,3.12,13
40,2,3.12,14
46,2,3.12,15
58,2,3.12,16
61,2,3.12,17
62,2,3.12,18
8,1,1.56,19
13,1,1.56,20
16,1,1.56,21
17,1,1.56,22
18,1,1.56,23
19,1,1.56,24
23,1,1.56,25
31,1,1.56,26
34,1,1.56,27
39,1,1.56,28
42,1,1.56,29
48,1,1.56,30
49,1,1.56,31
54,1,1.56,32
55,1,1.56,33
59,1,1.56,34
1,0,0.00,35
3,0,0.00,36
5,0,0.00,37
6,0,0.00,38
9,0,0.00,39
14,0,0.00,40
20,0,0.00,41
21,0,0.00,42
24,0,0.00,43
26,0,0.00,44
27,0,0.00,45
28,0,0.00,46
29,0,0.00,47
32,0,0.00,48
33,0,0.00,49
35,0,0.00,50
36,0,0.00,51
37,0,0.00,52
41,0,0.00,53
43,0,0.00,54
44,0,0.00,55
47,0,0.00,56
50,0,0.00,57
51,0,0.00,58
52,0,0.00,59
53,0,0.00,60
56,0,0.00,61
57,0,0.00,62
60,0,0.00,63
63,0,0.00,64
