NPU Expert Operations - Total Cycles
Decoder-BS64/3rd/npu/6
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    14   68            150
             1      353600   68    12   68            148
             2      353536   68    13   67            148
             5      353600   68    15   68            151
             6      353600   67    14   67            148
             7      353536   67    12   67            146
             9      353536   67    13   68            148
            10      353536   67    13   67            147
            11      353536   68    12   67            147
            12      353536   67    13   67            147
            13      353536   68    14   68            150
            14      353536   68    13   67            148
            15      353536   68    15   67            150
            16      353536   68    12   67            147
            17      353536   67    13   67            147
            18      353536   68    14   67            149
            20      353536   67    14   67            148
            21      353536   68    12   67            147
            26      353536   67    14   67            148
            28      353536   67    12   68            147
            31      353600   68    12   67            147
            32      353600   67    13   67            147
            33      353536   68    13   68            149
            34      353536   67    12   68            147
            35      353536   68    12   67            147
            36      353536   67    12   67            146
            37      353536   67    12   68            147
            38      353536   68    13   67            148
            39      353600   67    13   68            148
            40      353536   67    12   67            146
            41      353536   67    12   68            147
            42      353536   68    12   67            147
            43      353536   67    12   68            147
            44      353536   68    15   67            150
            46      353536   68    13   67            148
            47      353536   68    15   68            151
            48      353536   67    13   67            147
            50      353536   68    13   68            149
            51      353536   67    13   68            148
            52      353536   67    14   67            148
            53      353536   67    12   67            146
            54      353536   67    13   68            148
            55      353536   67    14   67            148
            56      353536   67    12   67            146
            57      353536   67    12   68            147
            58      353536   68    12   67            147
            59      353536   67    13   67            147
            60      353536   68    14   68            150
            61      353536   68    12   67            147
            63      353536   67    12   68            147
