NPU Expert Operations - Total Cycles
Decoder-BS64/1st/npu/2
================================================================================
 Expert Number  param_load  fc1  gelu  fc2  total compute
             0      353536   68    12   68            148
             1      353600   68    14   67            149
             3      353536   67    15   68            150
             4      353536   67    13   68            148
             5      353600   67    14   67            148
             6      353600   67    13   67            147
             7      353536   68    13   68            149
             8      353600   67    12   68            147
             9      353536   68    13   68            149
            12      353536   67    13   68            148
            13      353536  117    16  116            249
            14      353536   67    13   67            147
            15      353536   68    14   68            150
            17      353536   68    12   67            147
            18      353536   67    12   67            146
            19      353536   68    13   68            149
            20      353536   67    12   68            147
            21      353536   68    14   68            150
            24      353536   68    12   68            148
            26      353536   68    13   67            148
            28      353536   68    12   68            148
            29      353536   68    12   67            147
            31      353600   67    12   68            147
            32      353600   68    12   68            148
            33      353536   67    13   67            147
            34      353536   68    15   68            151
            35      353536   67    12   67            146
            36      353536   67    13   68            148
            37      353536   67    12   67            146
            38      353536   67    15   67            149
            39      353600   68    14   68            150
            40      353536   68    14   68            150
            41      353536   68    12   67            147
            42      353536   67    12   68            147
            43      353536   68    13   68            149
            44      353536   67    13   67            147
            45      353536   68    13   67            148
            46      353536   68    13   68            149
            47      353536   67    12   68            147
            48      353536   68    13   68            149
            50      353536   67    12   68            147
            51      353536   68    12   67            147
            53      353536   67    14   67            148
            55      353536   67    12   67            146
            57      353536   67    12   68            147
            58      353536   68    13   68            149
            59      353536   67    13   68            148
            60      353536   67    13   67            147
            61      353536   68    12   67            147
            62      353536   67    12   67            146
            63      353536   67    12   68            147
