Expert_ID,Token_Count,Percentage,Rank
25,17,26.56,1
7,11,17.19,2
38,11,17.19,3
61,11,17.19,4
10,10,15.62,5
46,10,15.62,6
53,10,15.62,7
56,10,15.62,8
4,9,14.06,9
23,9,14.06,10
35,9,14.06,11
42,9,14.06,12
58,9,14.06,13
11,8,12.50,14
14,8,12.50,15
16,8,12.50,16
21,8,12.50,17
30,8,12.50,18
50,8,12.50,19
55,8,12.50,20
0,7,10.94,21
17,7,10.94,22
40,7,10.94,23
48,7,10.94,24
51,7,10.94,25
62,7,10.94,26
13,6,9.38,27
22,6,9.38,28
26,6,9.38,29
43,6,9.38,30
47,6,9.38,31
54,6,9.38,32
63,6,9.38,33
2,5,7.81,34
15,5,7.81,35
24,5,7.81,36
27,5,7.81,37
34,5,7.81,38
36,5,7.81,39
45,5,7.81,40
52,5,7.81,41
57,5,7.81,42
1,4,6.25,43
12,4,6.25,44
20,4,6.25,45
41,4,6.25,46
44,4,6.25,47
49,4,6.25,48
60,4,6.25,49
5,3,4.69,50
8,3,4.69,51
29,3,4.69,52
31,3,4.69,53
32,3,4.69,54
37,3,4.69,55
59,3,4.69,56
3,2,3.12,57
6,2,3.12,58
9,2,3.12,59
18,2,3.12,60
28,2,3.12,61
33,2,3.12,62
39,2,3.12,63
19,1,1.56,64
