Expert_ID,Token_Count,Percentage,Rank
12,7,10.94,1
42,7,10.94,2
2,6,9.38,3
39,6,9.38,4
29,5,7.81,5
38,5,7.81,6
60,5,7.81,7
20,4,6.25,8
32,4,6.25,9
34,4,6.25,10
45,4,6.25,11
49,4,6.25,12
56,4,6.25,13
0,3,4.69,14
14,3,4.69,15
23,3,4.69,16
28,3,4.69,17
36,3,4.69,18
41,3,4.69,19
44,3,4.69,20
48,3,4.69,21
52,3,4.69,22
1,2,3.12,23
4,2,3.12,24
7,2,3.12,25
8,2,3.12,26
16,2,3.12,27
21,2,3.12,28
31,2,3.12,29
40,2,3.12,30
57,2,3.12,31
62,2,3.12,32
3,1,1.56,33
5,1,1.56,34
11,1,1.56,35
13,1,1.56,36
17,1,1.56,37
19,1,1.56,38
22,1,1.56,39
25,1,1.56,40
27,1,1.56,41
33,1,1.56,42
35,1,1.56,43
47,1,1.56,44
51,1,1.56,45
53,1,1.56,46
54,1,1.56,47
63,1,1.56,48
6,0,0.00,49
9,0,0.00,50
10,0,0.00,51
15,0,0.00,52
18,0,0.00,53
24,0,0.00,54
26,0,0.00,55
30,0,0.00,56
37,0,0.00,57
43,0,0.00,58
46,0,0.00,59
50,0,0.00,60
55,0,0.00,61
58,0,0.00,62
59,0,0.00,63
61,0,0.00,64
