Expert_ID,Token_Count,Percentage,Rank
27,7,10.94,1
6,6,9.38,2
30,6,9.38,3
25,5,7.81,4
36,5,7.81,5
47,5,7.81,6
52,5,7.81,7
38,4,6.25,8
50,4,6.25,9
5,3,4.69,10
8,3,4.69,11
9,3,4.69,12
11,3,4.69,13
18,3,4.69,14
33,3,4.69,15
37,3,4.69,16
1,2,3.12,17
4,2,3.12,18
13,2,3.12,19
17,2,3.12,20
19,2,3.12,21
20,2,3.12,22
26,2,3.12,23
35,2,3.12,24
40,2,3.12,25
42,2,3.12,26
43,2,3.12,27
44,2,3.12,28
48,2,3.12,29
51,2,3.12,30
54,2,3.12,31
56,2,3.12,32
57,2,3.12,33
59,2,3.12,34
63,2,3.12,35
0,1,1.56,36
2,1,1.56,37
3,1,1.56,38
7,1,1.56,39
12,1,1.56,40
14,1,1.56,41
23,1,1.56,42
24,1,1.56,43
28,1,1.56,44
29,1,1.56,45
31,1,1.56,46
39,1,1.56,47
41,1,1.56,48
45,1,1.56,49
46,1,1.56,50
49,1,1.56,51
53,1,1.56,52
55,1,1.56,53
58,1,1.56,54
60,1,1.56,55
61,1,1.56,56
62,1,1.56,57
10,0,0.00,58
15,0,0.00,59
16,0,0.00,60
21,0,0.00,61
22,0,0.00,62
32,0,0.00,63
34,0,0.00,64
