Expert_ID,Token_Count,Percentage,Rank
48,6,9.38,1
22,5,7.81,2
56,5,7.81,3
10,4,6.25,4
5,3,4.69,5
6,3,4.69,6
9,3,4.69,7
32,3,4.69,8
1,2,3.12,9
16,2,3.12,10
27,2,3.12,11
37,2,3.12,12
39,2,3.12,13
41,2,3.12,14
43,2,3.12,15
57,2,3.12,16
61,2,3.12,17
0,1,1.56,18
7,1,1.56,19
17,1,1.56,20
19,1,1.56,21
21,1,1.56,22
24,1,1.56,23
25,1,1.56,24
29,1,1.56,25
30,1,1.56,26
31,1,1.56,27
38,1,1.56,28
40,1,1.56,29
50,1,1.56,30
58,1,1.56,31
2,0,0.00,32
3,0,0.00,33
4,0,0.00,34
8,0,0.00,35
11,0,0.00,36
12,0,0.00,37
13,0,0.00,38
14,0,0.00,39
15,0,0.00,40
18,0,0.00,41
20,0,0.00,42
23,0,0.00,43
26,0,0.00,44
28,0,0.00,45
33,0,0.00,46
34,0,0.00,47
35,0,0.00,48
36,0,0.00,49
42,0,0.00,50
44,0,0.00,51
45,0,0.00,52
46,0,0.00,53
47,0,0.00,54
49,0,0.00,55
51,0,0.00,56
52,0,0.00,57
53,0,0.00,58
54,0,0.00,59
55,0,0.00,60
59,0,0.00,61
60,0,0.00,62
62,0,0.00,63
63,0,0.00,64
