Expert_ID,Token_Count,Percentage,Rank
62,5,7.81,1
31,4,6.25,2
60,4,6.25,3
41,3,4.69,4
43,3,4.69,5
46,3,4.69,6
3,2,3.12,7
11,2,3.12,8
15,2,3.12,9
21,2,3.12,10
37,2,3.12,11
42,2,3.12,12
47,2,3.12,13
50,2,3.12,14
55,2,3.12,15
57,2,3.12,16
2,1,1.56,17
4,1,1.56,18
8,1,1.56,19
12,1,1.56,20
14,1,1.56,21
17,1,1.56,22
18,1,1.56,23
19,1,1.56,24
23,1,1.56,25
24,1,1.56,26
26,1,1.56,27
27,1,1.56,28
30,1,1.56,29
35,1,1.56,30
36,1,1.56,31
38,1,1.56,32
40,1,1.56,33
49,1,1.56,34
52,1,1.56,35
56,1,1.56,36
58,1,1.56,37
63,1,1.56,38
0,0,0.00,39
1,0,0.00,40
5,0,0.00,41
6,0,0.00,42
7,0,0.00,43
9,0,0.00,44
10,0,0.00,45
13,0,0.00,46
16,0,0.00,47
20,0,0.00,48
22,0,0.00,49
25,0,0.00,50
28,0,0.00,51
29,0,0.00,52
32,0,0.00,53
33,0,0.00,54
34,0,0.00,55
39,0,0.00,56
44,0,0.00,57
45,0,0.00,58
48,0,0.00,59
51,0,0.00,60
53,0,0.00,61
54,0,0.00,62
59,0,0.00,63
61,0,0.00,64
