Expert_ID,Token_Count,Percentage,Rank
51,7,10.94,1
7,6,9.38,2
5,4,6.25,3
16,4,6.25,4
17,4,6.25,5
21,4,6.25,6
23,4,6.25,7
37,4,6.25,8
57,4,6.25,9
62,4,6.25,10
63,4,6.25,11
9,3,4.69,12
12,3,4.69,13
28,3,4.69,14
30,3,4.69,15
31,3,4.69,16
32,3,4.69,17
41,3,4.69,18
42,3,4.69,19
54,3,4.69,20
61,3,4.69,21
3,2,3.12,22
4,2,3.12,23
11,2,3.12,24
18,2,3.12,25
19,2,3.12,26
25,2,3.12,27
26,2,3.12,28
38,2,3.12,29
44,2,3.12,30
45,2,3.12,31
50,2,3.12,32
56,2,3.12,33
58,2,3.12,34
60,2,3.12,35
0,1,1.56,36
2,1,1.56,37
8,1,1.56,38
10,1,1.56,39
13,1,1.56,40
15,1,1.56,41
20,1,1.56,42
22,1,1.56,43
24,1,1.56,44
27,1,1.56,45
29,1,1.56,46
33,1,1.56,47
34,1,1.56,48
36,1,1.56,49
43,1,1.56,50
47,1,1.56,51
48,1,1.56,52
49,1,1.56,53
53,1,1.56,54
55,1,1.56,55
59,1,1.56,56
1,0,0.00,57
6,0,0.00,58
14,0,0.00,59
35,0,0.00,60
39,0,0.00,61
40,0,0.00,62
46,0,0.00,63
52,0,0.00,64
