Expert_ID,Token_Count,Percentage,Rank
37,6,9.38,1
47,5,7.81,2
45,4,6.25,3
9,3,4.69,4
34,3,4.69,5
46,3,4.69,6
59,3,4.69,7
60,3,4.69,8
0,2,3.12,9
10,2,3.12,10
13,2,3.12,11
14,2,3.12,12
18,2,3.12,13
38,2,3.12,14
53,2,3.12,15
55,2,3.12,16
2,1,1.56,17
6,1,1.56,18
7,1,1.56,19
11,1,1.56,20
20,1,1.56,21
22,1,1.56,22
23,1,1.56,23
27,1,1.56,24
31,1,1.56,25
32,1,1.56,26
33,1,1.56,27
36,1,1.56,28
40,1,1.56,29
41,1,1.56,30
43,1,1.56,31
44,1,1.56,32
52,1,1.56,33
57,1,1.56,34
1,0,0.00,35
3,0,0.00,36
4,0,0.00,37
5,0,0.00,38
8,0,0.00,39
12,0,0.00,40
15,0,0.00,41
16,0,0.00,42
17,0,0.00,43
19,0,0.00,44
21,0,0.00,45
24,0,0.00,46
25,0,0.00,47
26,0,0.00,48
28,0,0.00,49
29,0,0.00,50
30,0,0.00,51
35,0,0.00,52
39,0,0.00,53
42,0,0.00,54
48,0,0.00,55
49,0,0.00,56
50,0,0.00,57
51,0,0.00,58
54,0,0.00,59
56,0,0.00,60
58,0,0.00,61
61,0,0.00,62
62,0,0.00,63
63,0,0.00,64
